0 -nan -nan
34500 0.554452 0.00634074
34600 0.5541 0.0063298
34700 0.5539 0.00632011
34800 0.553837 0.0063114
34900 0.553741 0.0063017
35000 0.553711 0.00629269
35100 0.554512 0.00628678
35200 0.554621 0.00627792
35300 0.55435 0.00626809
35400 0.554737 0.00626059
35500 0.554703 0.00625244
35600 0.55503 0.00624491
35700 0.554985 0.00623625
35800 0.554714 0.00622657
35900 0.554629 0.00621737
36000 0.554299 0.00620768
36100 0.55436 0.00619859
36200 0.554856 0.00619257
36300 0.554775 0.00618358
36400 0.554916 0.00617589
36500 0.554959 0.00616763
36600 0.555449 0.00616091
36700 0.555336 0.0061522
36800 0.555274 0.00614312
36900 0.555255 0.00613442
37000 0.555291 0.00612695
37100 0.5551 0.0061175
37200 0.554655 0.00610751
37300 0.554783 0.00610023
37400 0.55511 0.00609334
37500 0.555398 0.00608615
37600 0.555464 0.00607862
37700 0.555672 0.00607172
37800 0.555771 0.00606399
37900 0.556285 0.00605839
38000 0.556207 0.00605005
38100 0.556272 0.00604204
38200 0.556317 0.00603393
38300 0.556791 0.00602861
38400 0.556756 0.00602028
38500 0.556506 0.00601125
38600 0.557031 0.00600642
38700 0.556965 0.00599829
38800 0.556644 0.00598904
38900 0.556796 0.00598137
39000 0.556922 0.005974
39100 0.556526 0.00596409
39200 0.557306 0.00596033
39300 0.557302 0.00595311
39400 0.557073 0.00594449
39500 0.557241 0.00593825
39600 0.556874 0.00592972
39700 0.557133 0.00592303
39800 0.557392 0.00591591
39900 0.557556 0.00590912
40000 0.557444 0.00590099
40100 0.557493 0.00589424
40200 0.5575 0.00588684
40300 0.5576 0.00587956
40400 0.557796 0.00587292
40500 0.557455 0.00586399
40600 0.557016 0.00585484
40700 0.556806 0.00584629
40800 0.557172 0.00584087
40900 0.557308 0.00583465
41000 0.557593 0.00582773
41100 0.55744 0.00582037
41200 0.557384 0.00581397
41300 0.556959 0.00580527
41400 0.557015 0.00579842
41500 0.556866 0.00579072
41600 0.556598 0.00578274
41700 0.556882 0.00577677
41800 0.556679 0.00576947
41900 0.556255 0.00576079
42000 0.556194 0.0057536
42100 0.556416 0.00574762
42200 0.556415 0.00574068
42300 0.556784 0.00573554
42400 0.55686 0.00572868
42500 0.556709 0.00572169
42600 0.55662 0.00571487
42700 0.55625 0.00570646
42800 0.555886 0.0056982
42900 0.55624 0.00569297
43000 0.555974 0.00568535
43100 0.555958 0.00567897
43200 0.556037 0.00567265
43300 0.556067 0.00566676
43400 0.555716 0.0056591
43500 0.555998 0.00565373
43600 0.556134 0.00564769
43700 0.555894 0.00563967
43800 0.556066 0.00563397
43900 0.556137 0.00562739
44000 0.555948 0.00562028
44100 0.555898 0.00561375
44200 0.555891 0.00560686
44300 0.555549 0.00559911
44400 0.555589 0.0055935
44500 0.555481 0.00558684
44600 0.555048 0.00557859
